;we.ep;we.eBH;wi.ep;wi.eBH;;;;;;;;;
114f82ecc677cf2b0cb22a993731a3cb;0.517439861;0.992467496;0.530618508;0.988522666;;;;;;;;;
1210357dace7d5976e3a8958e168083d;0.466236706;0.988764788;0.465222645;0.988571128;;;;;;;;;
8ca580f3174c92425f777851d90ec9cc;0.462537951;0.99140363;0.496833865;0.98859139;;;;;;;;;
f5146c69a395528f48ae71bb1c1f09e6;0.448369455;0.991060511;0.473577296;0.988597757;;;;;;;;;
614ba26b030ec6ef38614f0ed6d1f1e0;0.496270813;0.991713891;0.531607042;0.988602955;;;;;;;;;
55d7c4935f95dd632412a30efd586656;0.450105051;0.991697308;0.497809222;0.988607844;;;;;;;;;
918bfc434077610603fd061808a38c38;0.521138786;0.987120566;0.556939981;0.988625758;;;;;;;;;
155a1b5259f6f56eb9fc13733df868f5;0.474073953;0.990083498;0.513174555;0.988683712;;;;;;;;;
3d5108b15bd7ed432029f081da886cec;0.397879528;0.991525902;0.435779386;0.988710885;;;;;;;;;
e7f34b1ae3119f6c6ecb100af74bcf15;0.376542681;0.990870796;0.457564081;0.988766324;;;;;;;;;
0767442c5939d5b0ddeba39f8471a0ce;0.487226981;0.992025621;0.514262713;0.988786358;;;;;;;;;
a18401fd14f7a201efc50afb77932e10;0.480919505;0.991482449;0.498536803;0.988836326;;;;;;;;;
0a24d218b57636dd720df5f9f54759df;0.476631899;0.991503274;0.519703183;0.988983506;;;;;;;;;
42ed89559f614da643029816785488b0;0.429481959;0.991483942;0.472621863;0.989023254;;;;;;;;;
a7d688004c51f221097ce88ebfcafec4;0.483533557;0.991331275;0.518857659;0.989037162;;;;;;;;;
b2725958e62ebaacaab38e15b1409097;0.481241045;0.991161194;0.506218184;0.989037468;;;;;;;;;
4081dc99b9c6d22c935662e2e9642d24;0.434629133;0.99127104;0.443942179;0.989059649;;;;;;;;;
a761c669ae2ea5674145fa54e36822e9;0.485122137;0.992122277;0.533542974;0.989079661;;;;;;;;;
4b3e284290fc690b27d4a9f732c0c75a;0.483861129;0.991605262;0.497064287;0.989084488;;;;;;;;;
30572e30e0dda9ddb7e6144441b13b77;0.46046996;0.99197271;0.48550815;0.989111686;;;;;;;;;
3f143daea793a94bf25b56c32d784fb9;0.439042098;0.990994669;0.492469663;0.989174612;;;;;;;;;
0fdbb8aa8456831a52cf3f4c93b738b5;0.488707059;0.991990541;0.521740667;0.989182769;;;;;;;;;
bf5675c9334fbfea0a208fa6316135d5;0.485474109;0.985018826;0.521739382;0.989186283;;;;;;;;;
88d6ac9029051f400fa4232bf092a711;0.522784457;0.991540169;0.531114703;0.989279708;;;;;;;;;
cb0546296ee4f93a805055b0aa1d4a55;0.468149253;0.991473379;0.546636222;0.989313007;;;;;;;;;
07be5731249392765fbe373eefd0d434;0.404289756;0.98607286;0.450734009;0.989328945;;;;;;;;;
fbdcf35e43cbea2c99ea7a7b9a51cd85;0.49913843;0.992197955;0.50059357;0.989337566;;;;;;;;;
ced6cdd669e6c237af14095a07daa330;0.517922132;0.99198927;0.554802872;0.989362345;;;;;;;;;
93f1d55cfff93598e7e1d098dc4a6b91;0.470735319;0.990445039;0.48753985;0.989379995;;;;;;;;;
624ae4e0a832ef47feaa1f7b21a71be0;0.496786379;0.992196529;0.501244987;0.989382451;;;;;;;;;
f9ee32a84b958eede81bfc1614437082;0.488923337;0.991436884;0.539614935;0.989422849;;;;;;;;;
0b19186e1d09b3464470ade1f50ba4e8;0.213282039;0.990615564;0.170481219;0.989452115;;;;;;;;;
6e87c18619d568ae4fc9ab4711da6dbb;0.485505112;0.991725292;0.488584944;0.989462533;;;;;;;;;
476603bbf607f1eae4eba8e27a45e586;0.432245764;0.990803232;0.507523267;0.989468649;;;;;;;;;
54d5d77bb6192555d4cfdd57373499b9;0.419437455;0.990955403;0.45125045;0.989477559;;;;;;;;;
c7126895e11acd281589901e0158ca2f;0.461347614;0.991851308;0.514758587;0.989478931;;;;;;;;;
44f76945e712fa393981d7b9d33ca29e;0.382711483;0.990521815;0.457612929;0.989486937;;;;;;;;;
9f6e77be8fcd24644cda042be741d1ed;0.50147652;0.992205814;0.501057628;0.989500376;;;;;;;;;
4a87ad389c21bdffeba32b99b8542d85;0.519129291;0.9863549;0.540100846;0.989519373;;;;;;;;;
fbe50bb9f3b7a8f32141553f97d74563;0.53353036;0.990670181;0.560820843;0.989535615;;;;;;;;;
0a64c8c5bce52ae4288f3fd7842d252e;0.470433643;0.992092981;0.507350049;0.989576937;;;;;;;;;
1f7b13140e76c679900cf90f401d5938;0.403695573;0.99148594;0.459654592;0.989580156;;;;;;;;;
c223ecc682f7301fd270e580afa51215;0.479718826;0.991131634;0.499161225;0.989615499;;;;;;;;;
a2a1b12a342a3d80944508fe6f78e240;0.517520404;0.98980265;0.533869807;0.989652487;;;;;;;;;
4f2c9b0af905a06cbd616ce4424181c4;0.509291474;0.991957247;0.526108083;0.989655229;;;;;;;;;
eb7fed00f9f01054228b7d59445c2837;0.472852451;0.992079851;0.490551728;0.989707663;;;;;;;;;
caf2ab55497c8ecfe894d6132fa59a1f;0.440239765;0.991765249;0.446630438;0.989708751;;;;;;;;;
4b1d040550b9c241b22bed2e349d35aa;0.505538035;0.990361228;0.533405106;0.989713246;;;;;;;;;
017edf023e457037b1d847070a9d4d41;0.489377471;0.991470424;0.510910826;0.989789866;;;;;;;;;
5ec8776176c9e7a1a90bff44ff25a6a8;0.461873464;0.987034164;0.472512598;0.989792777;;;;;;;;;
30b6809eb906328f16af4ab57b135865;0.52431794;0.991583471;0.566017393;0.989899843;;;;;;;;;
55dc9cfac25bf9bcf1c3fc6a329cd7ab;0.52276499;0.991016158;0.580077964;0.989900779;;;;;;;;;
70dba3cd2e66d07b605972d2a9818ef9;0.52715811;0.991643863;0.562966308;0.989915786;;;;;;;;;
ba9c69943b7eb09eda996c0fd34746eb;0.479944589;0.99116133;0.481274745;0.989926436;;;;;;;;;
553d69b30d71394adc84cb2eeb4e5e10;0.490365311;0.991635187;0.494667832;0.989999664;;;;;;;;;
2c4dd46b0b2bace8ce5462eeec6ecc37;0.399377948;0.98941205;0.431357659;0.990013413;;;;;;;;;
