;we.ep;we.eBH;wi.ep;wi.eBH
f5d5fa71f740f81f39f503cec0722084;0.386726661;0.991436742;0.45131376;0.996242049
ffd033102a6a317eb99a3f8ff243caa6;0.400645346;0.991702505;0.452452694;0.997724563
db527f82c16b24ab72c7a58924f73f6f;0.410129714;0.987566566;0.452539464;0.991310702
4c0bc9e7294dc5aed78881e372ba1f03;0.431740654;0.992175349;0.453154566;0.996556648
b8bc309a0d71324a35f0f7e1922df8c6;0.396985557;0.991842298;0.45518948;0.997717635
4ee14fc682f97db3e38f0a040fcb9901;0.44059075;0.991990064;0.455364948;0.993947426
18466425f61533332d36c023e37cbf13;0.443299543;0.991908883;0.456005759;0.997793889
5ce9400218b25bf9bc961b90d585d126;0.446190832;0.992233084;0.456506453;0.996529514
0a265e08556be9635f2ba03560b0a7dd;0.378051362;0.991488695;0.456616362;0.997713725
6d796b4220fab0e34e7dd1652547c917;0.387482938;0.991517244;0.456917806;0.996631616
955950bb544f1d2ccfa54f813b57dcbd;0.43760836;0.992064775;0.457786148;0.996741538
6ee00c39b6b356b9961f50e3b1a9f45c;0.425377725;0.991564804;0.458347259;0.997361164
67c37dc4bee9bbcd638b39305b93cd61;0.422063097;0.992186205;0.458748329;0.997482359
f55eb46d33bb782d7c3c4a7abadc5134;0.431806068;0.992321095;0.459518974;0.996602346
70f57d775160f969270545c4412f5a9c;0.441541008;0.991773005;0.459558181;0.994330429
e63a1008b7d158afee403ec8c0ee211c;0.408520141;0.99174251;0.460124434;0.997341884
fb28b3b16ec48f8d130e36126a0145ce;0.39644424;0.991672463;0.460456088;0.997172402
2defb114864935772b2992cac50a8233;0.450503394;0.992110303;0.460521647;0.996899881
f89c90d7a3f9bb200b916f8e0ad654c0;0.46593616;0.992113309;0.460713184;0.997974673
d696d3226040fc335f7396cb26805ff3;0.394953472;0.99215967;0.460954854;0.996576404
0b84666b43dd6d3c8726ab06ff8975a4;0.393816277;0.991755506;0.461126465;0.995270394
476603bbf607f1eae4eba8e27a45e586;0.44183136;0.992276095;0.461215806;0.991344574
514ebaa43352c22f23b0f668e011e94f;0.41608277;0.991998338;0.461661225;0.99548085
7fc42926fc252aef0dbaa34b103e5c14;0.409359587;0.99188335;0.462235191;0.997932322
079bc5e69689cc4bc67fa52f0602cd2c;0.446443624;0.991928685;0.462289181;0.997704617
7ddd4fe4ed3c4c4451ab1d3f9d6a5ee2;0.459298983;0.992120867;0.462545635;0.997705534
7f0769780a5c8363c7537c3bfbdfbe01;0.438964986;0.992363306;0.462559132;0.99695004
a5bbdf076cf77090aadf48d091c2a867;0.415227165;0.992136628;0.462574558;0.997765117
4145e860a1a17c597e452b988f780a22;0.41953566;0.992366857;0.462920352;0.997532798
92ec0d5f11bbb1f545ae75c67d0ec56c;0.443630423;0.991891476;0.463172306;0.997296349
625539550ae4aebff5496fa244cd166b;0.415708517;0.992097189;0.46394745;0.995946566
42c5232ac4f92effb55b1ee5f011f463;0.442854664;0.992516292;0.464202617;0.99747128
df41f105c19cd7980f167abd19957459;0.421055519;0.99165372;0.464336307;0.997235113
3567931e4ae3108f101af00839c79fb8;0.411628162;0.986402484;0.464897419;0.991253495
3a856dec9f328c56f9d50e16a4c3a763;0.473191779;0.991955553;0.466222748;0.995173428
04425b6bfafa629b74a231f27a1704a0;0.405775;0.99219684;0.467529437;0.99290143
b5d49990815510f4886f42597a63d2e3;0.383455722;0.991890585;0.468188888;0.998035534
f1c0ffb61cc756c28ff9498c93c64345;0.43620389;0.99175547;0.46827373;0.997018633
a46422010e8b9277d747b1fa0942ebe2;0.462983714;0.990930435;0.468620167;0.997570839
4da33b5b1e3b273d32ab7daedd06e656;0.453268552;0.991444809;0.468841912;0.998000072
83b3f7e70fbe75cf7b9a80705b9e27da;0.438251384;0.992052677;0.469584919;0.99794669
8bf5c3ce0f4325a075b3080691df7234;0.759939067;0.993367667;0.469968634;0.998028908
15b1c8873abfc376b40902f63a890cfb;0.455225163;0.992259088;0.470679504;0.997980534
9cf9bda9b30c34e46f75a23c2abf9eef;0.416509198;0.992009805;0.47150671;0.992889588
d7cf0c364b2131ea22e52b1b33c12c0f;0.45307752;0.992603729;0.471671894;0.994678793
d27b4014024de32f242b836c004fa512;0.376226487;0.991984733;0.472063965;0.996144511
a5ba61b7f9c2817ddae189c9e5e61e0f;0.409406146;0.991825489;0.472309492;0.996923172
9e7e9b62ade55553e9689afe8c1eecc1;0.42227174;0.991802679;0.4724239;0.996955402
3b053d0e0afb46ae66b1341966156dfe;0.379455676;0.991970639;0.472480461;0.996771443
7282cce8b7ed6be25babcd226898f019;0.404020374;0.992273477;0.472659785;0.996913345
0241a85b35abb8decf9070e498b71279;0.436438631;0.991944455;0.472737557;0.997420644
92e239a2398f34b4040493f6fb08c424;0.461463281;0.992044254;0.472878959;0.995366259
d4ef5a096a7288c992ab2471f8ebc00d;0.391977687;0.99224784;0.473110988;0.998187609
d40d3309280d1942abd09d36fea64453;0.434775574;0.991545642;0.473779437;0.997381032
ba9c69943b7eb09eda996c0fd34746eb;0.427354779;0.99190877;0.474048103;0.996973266
aa383260a54f2adc1814ad36b9fef394;0.404255116;0.991642807;0.474558438;0.997935228
2d7b14a74364dbb5ce1f9567c5a9e73e;0.461181888;0.992688642;0.474593789;0.996735588
7fc3c33563cc617bca6e486501f1b0d6;0.445302963;0.99242399;0.474644565;0.996740996
bf444fdc1cd963c4b136c9afcfeac93d;0.466725874;0.986788688;0.475035351;0.991375427
9c44d10af721b1176e27c46e1c59cebe;0.48272046;0.992329962;0.475124049;0.99792632
b2aa503ad83456bfea717b5801495e89;0.413376089;0.992015456;0.475611888;0.997524308
cc87f0eea921b314bf2b43b9aa691399;0.471179058;0.992093549;0.475739793;0.997594905
9e136e2050785396a6d700d76401d991;0.452660924;0.992339495;0.476035454;0.997067643
ca519ed6c9c2bbc0ac12f235ae78805d;0.467803862;0.99222419;0.476096514;0.99762253
97fc62e42b493bd7b57b26afd124c214;0.478535399;0.992386365;0.476196138;0.996780883
fbc0731c0f30e49643ff15095b6cb2cf;0.46977256;0.992103077;0.476211564;0.996864702
7c4887de1987c0bda23b7c645acbcf4a;0.400593117;0.992272269;0.476695547;0.996806384
2bf0b2944bb41b21e8cfaee7bb967ef0;0.445841794;0.992080138;0.476833093;0.997727341
e9d5b2bcd1fbfc28c9d8b56674a8e36d;0.464983729;0.992003802;0.477437911;0.997112289
213252b64461081eb820c3cce63f7976;0.450882485;0.992037531;0.47748676;0.997291565
1a9aab44cee5a4284fd2d9edd7ab0bf8;0.436405971;0.991896044;0.477602453;0.997915042
67444be6c1c67fe5c7d9d528fef15038;0.434833663;0.992032595;0.477743213;0.998081078
386acad5c85546bd052129abf4921cc2;0.435534345;0.991934219;0.477797203;0.99669986
28478e2fef641117de869ace023e1a69;0.433603313;0.991705322;0.477811343;0.997376808
c0d6d1bcde502339023820034a499b0f;0.468572854;0.986998511;0.477837053;0.989505334
8cd5217d506ffa5690a2099edd3b14dc;0.442773995;0.99149889;0.478091578;0.997939447
351209732cfa9d93efd1d6ad8e84acb0;0.490926795;0.991627901;0.478247121;0.997893488
e3eba62fb60bc971a96effdfc535da24;0.44135394;0.991779318;0.478412305;0.995696448
68dccf7f9bd236e044591686e5b9853e;0.460574545;0.992486611;0.478825586;0.998195874
f92ce6295558e6e690a837d0b8e89ef5;0.48551668;0.992288258;0.479054401;0.993056412
0e805882e9a003bb43c7ccd6c0b96930;0.496329422;0.992678359;0.479260721;0.996321675
6562b7b3abb6ab0be82d11b6ffc3df94;0.488413751;0.9920319;0.479365487;0.998156481
a2a1b12a342a3d80944508fe6f78e240;0.449305585;0.991942927;0.479477967;0.994680525
5e263431b50866ce3c51988cf06fae67;0.469589934;0.992660826;0.480071216;0.998015291
3ebdd97c95e4df9763ce2bc4b9ae2b76;0.447612371;0.991712328;0.480080214;0.993360114
d113fd5abefe30d71e9598f8301a7927;0.470640625;0.992561558;0.480289104;0.997570705
b930c2617cd6a46fba4627fe07e37d9e;0.569294545;0.992319684;0.480364948;0.997907831
b554108ba9586cdfa328da1867d7deac;0.3992503;0.992358504;0.480666392;0.994997438
dac0796aaf77befcccd5e957a23694b0;0.412869539;0.991737298;0.480819364;0.997248164
6300278b699cdf378812c8749e983172;0.442188839;0.992400729;0.48084186;0.997675971
23f5ef29f7043487267a9b08ce4ca8ae;0.433815028;0.992114475;0.480967837;0.99788119
cd635f69694fd03bac983ccedc9e0b04;0.468629374;0.992075531;0.481651712;0.994744879
bcd551cc0af0d5a8fe9b963553c94090;0.463865146;0.992007822;0.48170056;0.99763113
6225e7f6a926b5d2be2a1a5cf848e224;0.42601954;0.992067047;0.481939017;0.995717821
dc0fa82c4ad6c9a54e50ea3c96fd37b4;0.467616901;0.992452627;0.482199326;0.996361969
921d83dcec11f56caf2e8773cf1974f6;0.441889658;0.988570004;0.482278383;0.990427032
bbe51f566a561b43f81d91608eaba624;0.472486694;0.99243;0.48244421;0.997977243
f77cdff6752935c5cb26081cd4d943e2;0.475924355;0.992343363;0.482480846;0.997878023
e180fca284b7fa5cf016ba6458108d91;0.476241957;0.992416076;0.48293912;0.995907868
a4cff5c79698a806954d93d7c84370ba;0.447815358;0.99194004;0.483078594;0.997018933
5325528d0b408e975f6e715413453f50;0.443102582;0.991723335;0.483113945;0.997940626
79940e0b811821e8c9d06dbfd8d11c9c;0.440144072;0.991872561;0.483414747;0.99658149
d9b7663e7476d2c6a53fc54dcb6380ec;0.444663275;0.992774464;0.483479021;0.996112331
ae0ac432ec3dfd99f5e065342cb29db5;0.474380832;0.992093731;0.483616567;0.997936107
da36e03d6685ad1c7a6fc51d469fece7;0.494379245;0.992481313;0.483709765;0.996847297
99b134f08b80499e1edfca7df295b0fd;0.452179388;0.991894158;0.483761826;0.997796067
fd6c1f5c0a2843abb2e178290bde0069;0.467746275;0.992406595;0.484207245;0.997581623
225f915b68e812cf8890db467440b6e2;0.456254507;0.991680091;0.484269591;0.996542864
85f3064200bdea053261d4cd42675233;0.397431866;0.992024196;0.484504833;0.987574111
7cb6bd45bdb2752d4c26860c7a2cb597;0.480729798;0.992168161;0.484539541;0.995661161
12b8dbf6515cc2809c66d1d522a99c69;0.403744867;0.991657463;0.484564608;0.997931822
0d9bddb95d1988b89f62f3d4e167769e;0.457182651;0.99264587;0.484568465;0.997944657
05e0a7d8b572d2998674e7f47f36326c;0.475325697;0.992260407;0.484626311;0.997551646
6219968d331f5089259292d16563b6e6;0.171547721;0.991042008;0.484684158;0.997892998
36d75100a2b67e71439db59e753c75f0;0.463337216;0.992297024;0.484887906;0.997800937
567b0a6f81a47ccfa0d19a5a078afc86;0.440030198;0.992583252;0.484973391;0.998129756
03fa7a523cd35ff9a9785f32e06dbd03;0.469353195;0.991922735;0.485206062;0.997283452
24084398578d31aa97387931000f35c2;0.459710435;0.992448987;0.485366747;0.998026454
6e87c18619d568ae4fc9ab4711da6dbb;0.450113947;0.991072888;0.485439377;0.994829149
67fa2b9d1a7cc4d9ca63827512de4e6c;0.458672074;0.992617724;0.485537073;0.997611667
92010cc88c1ce1b949844c8bd4bbd14c;0.477372354;0.992399665;0.485556998;0.996493899
d057e122bd97363f67a86b7cc3b59d54;0.457988681;0.992393743;0.485560855;0.997105018
5a86f9f5b0559f7ee3e62cb134d153ae;0.495213836;0.992835823;0.485580137;0.995872039
3cfc3f7efa08e8a6a3cb58806a300bde;0.48267107;0.992412892;0.485651481;0.997278067
006a803adad6d60e30e15edefe4d3cf3;0.483745216;0.992517326;0.486424054;0.997912588
26b628359ba7014a2ff4a7c3cf61d936;0.488653458;0.992366926;0.486487042;0.997858711
10081abd2d7f7d622253a85609385402;0.458440646;0.992266265;0.486524321;0.996649112
0711f9d6b882aa285ac36032f4be2e4b;0.475491171;0.992284528;0.486731926;0.991667798
d83b441b49b83c46bd373c16d3cd0d41;0.485317883;0.991810103;0.486827694;0.997460078
587d7f2794222f24aa2f2c56c6e780ee;0.485032543;0.992008035;0.486846334;0.997879957
a3ed16f1b39873b88c89d8ea8de26ae3;0.490852553;0.991910754;0.487057795;0.997094346
cdafd4cedd185a906bd79e4cb3bdbb77;0.422125386;0.9923807;0.487310392;0.993090191
476f3355162fee506dd80815c8318843;0.449959148;0.992427976;0.487350884;0.997393391
f5f2d33447c78d6c3c4610f82be897bc;0.443446265;0.991855508;0.487522496;0.997020384
a410ba3f70c0aadc8ede680d3ce3f07a;0.453826816;0.991922498;0.487557204;0.997679136
43fe12ec46f4d1d230fa290a4ce7689c;0.464700034;0.991628857;0.487755168;0.997801915
c60a9e2b0b94325b447dc6415c58920d;0.464529433;0.992057474;0.487771236;0.992748163
8fa3fc95fd17ccbbd37750516022b819;0.48740435;0.992672335;0.488053399;0.997753049
e33a007e2f6b626fd1df9089da8b1e3f;0.46960707;0.992861084;0.488164593;0.997209302
18daf52ac1164ac56b5a9d5280c5fd1a;0.412990893;0.991818537;0.488192231;0.996620497
044cdf4c09e4354c2cfc5a268dccd51f;0.495925466;0.992542336;0.488563734;0.998048931
ebe149cdd6a8ade9c7d277af805d4bc7;0.443212135;0.99193568;0.488574018;0.998123909
afd85dfa659936b483cebeb2518e9fd8;0.478668123;0.991860871;0.488623509;0.997685271
86a73325cecae9cd6c62448d44c1cb2e;0.436280521;0.992302373;0.488801548;0.9976
25b07e525e77053a8c3d30b856762ab8;0.473302539;0.992526016;0.488824044;0.9955851
0ab04162a144b0244911f886b0c85400;0.462475889;0.992101645;0.489355589;0.997819722
