ID	ESANII111	ESANII114	ESANII116	ESANII117	ESANII118	ESANII124	ESANII131	ESANII135	ESANII137	ESANII140	ESANII211	ESANII214	ESANII216	ESANII217	ESANII218	ESANII224	ESANII231	ESANII235	ESANII237	ESANII240	ESANII311	ESANII314	ESANII316	ESANII317	ESANII318	ESANII324	ESANII331	ESANII335	ESANII337
92ebb970c0a906e49aef4537daee381a	0	0	0	0	0	0	0	0	18	0	0	0	0	0	26	0	0	0	23	0	0	0	0	0	28	0	0	0	13
3e4b55874e14339264ba0933982568b3	33	0	26	8	13	22	23	0	4	22	17	0	0	20	11	19	19	13	3	26	22	0	11	29	21	0	34	8	0
3013e61c43269bab78ef59d5884eaea7	0	11	28	0	26	0	22	0	30	0	0	39	10	0	7	0	22	18	19	0	0	29	38	0	20	0	0	34	26
23f5ef29f7043487267a9b08ce4ca8ae	24	0	11	15	11	28	9	0	7	13	21	0	0	20	12	18	31	20	2	24	27	0	14	18	8	0	45	13	0
de4552920c6410466f9670e98c36ae7b	0	0	0	0	29	0	0	0	19	0	0	20	0	0	0	0	21	2	3	0	0	0	0	0	0	0	0	32	0
c3267bbe3eace962ba01bacb87c3b9ab	0	0	36	48	0	0	20	50	11	0	0	19	11	0	18	0	13	0	16	19	0	0	13	0	0	0	9	0	14
69989fd4f0f4b8324ed818aad6512dc0	0	11	31	24	0	0	34	0	11	0	0	10	22	20	46	0	26	0	10	0	0	54	32	22	14	0	26	0	0
2c4dd46b0b2bace8ce5462eeec6ecc37	21	0	35	0	0	0	0	44	0	28	29	26	61	0	28	0	0	25	0	30	21	0	32	0	0	0	0	27	33
da37b98a052b04f9702a9df00a41b079	0	0	0	0	0	0	0	0	14	0	0	0	0	0	42	0	0	0	19	0	0	0	0	0	21	0	0	0	35
926876a1ad97a0ea44d9e260076f63f6	0	0	0	0	0	0	0	45	10	0	0	17	34	0	0	0	0	0	29	0	0	0	0	0	0	0	0	26	21
ff52da9249f319f3caa2c562b56b4ea0	0	0	0	73	61	27	0	25	22	15	0	0	0	0	0	22	0	0	12	14	0	0	0	29	14	7	0	0	36
76c570afb4aabd2187fd2abef36e0bf7	0	21	29	26	0	0	0	0	18	0	0	14	16	39	0	0	0	0	0	16	0	16	23	28	0	0	0	0	0
55b8c26378479d8e17e115fb37a8f773	24	0	32	0	0	0	30	0	0	0	42	0	0	0	41	0	0	49	0	0	53	50	0	25	0	0	0	30	0
255054ddd39279b06e963e62b292ab2c	30	0	54	0	0	0	26	0	0	0	32	0	0	0	51	0	0	26	0	0	72	0	0	22	0	0	0	38	0
874859de2e358d33b4924c70d21b44fd	0	0	0	0	0	0	0	73	1	0	0	12	23	0	0	0	0	33	49	0	0	0	0	0	0	0	21	17	12
bc96b9c50be76b6ed816f92c79c08431	0	0	27	34	0	0	14	66	16	0	0	21	21	0	18	0	23	0	24	11	0	0	12	0	0	0	11	0	15
1c5fa4c003007957ab5818093c5b6fe1	0	0	44	0	0	0	0	0	0	19	24	0	0	0	0	0	0	0	0	39	0	0	38	42	14	0	0	0	0
2e5a9c050870b403ddc7679e31e89b96	0	0	0	0	31	0	44	0	0	0	0	0	0	0	23	0	92	0	12	17	0	0	0	0	6	0	75	0	16
a9743d997ad3fd6ed6a51242a801744b	0	0	0	0	36	0	0	0	9	0	0	16	0	0	0	0	22	1	3	0	0	0	0	0	0	0	0	50	0
93da6ba54156011b64a016be7193eb03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	11	0	0	49	33	0	33	0	0	0
644e1ef55469b05751327868868150ab	14	19	0	0	0	0	0	0	11	12	19	11	0	0	0	0	0	0	13	0	33	46	11	0	0	0	0	0	0
c4c8b5cfba3b099e7538ba0c6e3f9ab9	0	0	0	0	0	0	0	0	26	24	16	0	0	0	0	0	0	0	0	36	0	0	0	0	23	0	0	0	0
b1c5f1ed2e58fae11d65197850c5e715	0	0	0	0	0	0	28	68	0	0	0	0	0	0	0	0	18	20	0	12	0	0	0	53	0	0	12	24	0
bbaa2d875c06e67c78d32f8c71cfde91	0	13	0	14	25	0	0	0	24	12	0	28	0	0	0	0	0	18	13	20	0	11	0	11	22	0	0	0	8
31d4bc07a6c51753799784231f1cde2d	0	17	61	0	68	0	0	0	0	0	0	12	0	0	0	0	0	0	14	0	0	13	0	0	26	0	0	0	38
536875c2e21d1cee497fb24649b56283	0	0	0	0	46	15	20	0	15	24	0	0	0	0	0	17	0	0	10	20	0	0	0	19	24	20	0	0	50
3a80ef12e5b955a5698245876447e0bb	0	0	0	27	0	0	0	51	33	0	0	30	0	0	57	0	0	24	18	0	0	0	21	0	0	0	0	34	0
4fd2c9aad6d419153e9c50be176484e6	0	7	0	0	0	80	0	0	0	0	0	2	0	0	20	97	0	23	9	0	0	16	0	0	6	101	0	0	0
3408e39ec76a58c79f20c2de0ccf9215	16	13	0	25	0	28	0	0	8	10	9	33	22	64	0	38	20	0	24	17	24	34	0	31	0	47	0	25	8
90e5d8666b4d10cf6add0a314146e11a	0	0	0	49	12	44	12	0	20	0	0	0	0	0	0	0	15	0	0	24	38	0	0	0	0	34	22	22	0
c8f5e6040d9651ee424b3232db2c8d46	23	21	0	0	0	0	0	0	10	15	24	17	0	0	0	0	0	0	13	0	23	28	14	0	0	0	0	0	0
8a2688eb5d3a77d9ebaf55603f6efda1	0	25	0	18	25	0	0	0	43	4	0	17	0	0	0	0	0	15	26	16	0	15	0	14	19	0	0	0	18
f9c6646e4f1e5b6dfa042a1c99c608bd	0	0	0	0	0	0	22	61	0	0	0	0	0	0	0	0	21	17	0	13	0	0	0	57	0	0	10	20	0
67c37dc4bee9bbcd638b39305b93cd61	33	38	0	0	0	0	0	0	32	26	0	0	0	0	0	0	0	0	0	0	0	0	30	0	16	49	0	0	0
7c3158ac57eae3662c6cd66a9750e272	0	0	0	0	0	39	0	0	19	11	7	0	0	0	11	54	0	0	42	6	0	0	0	0	27	51	0	0	12
15a7f644ea4af1732c4e43e3e5185896	16	0	0	14	0	0	57	0	5	13	0	0	0	24	0	0	23	26	16	16	0	0	11	25	0	0	14	28	0
e28ae0c846eb003b5d3ce0987a465b8c	8	0	0	0	0	0	15	0	5	15	14	0	35	19	27	0	16	0	16	8	0	0	0	0	14	8	23	0	19
736cc26a168d45574c02b005215066ef	0	0	0	17	0	43	0	0	0	0	0	10	0	0	30	36	0	19	0	0	17	0	0	15	0	33	0	0	0
c7b99de1146e7e81c850b7f33a5280da	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	14	29	0	29	17	0	48	0	0	0
a2507f4326162b75bd9dfe1f45c878fa	20	12	0	27	0	28	0	0	9	6	11	37	15	34	0	43	24	0	19	16	25	23	0	23	0	40	0	12	7
4f289c71bd0381e04224f33bad69a500	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	125	0
